intera,.value,.lower,.upper,.width,.point,.interval,grp
Hymenoptera.D - Bee.E,-0.864525202,-1.764129337,-0.021400776,0.95,mode,hdi,
Hymenoptera.D - Coleoptera.A,-0.460553526,-1.256373992,0.251507012,0.95,mode,hdi,
Hymenoptera.D - Coleoptera.B,-0.554483193,-1.616469996,0.063980723,0.95,mode,hdi,
Hymenoptera.D - Coleoptera.C,-0.841093966,-1.669638963,-0.163109459,0.95,mode,hdi,
Hymenoptera.D - Coleoptera.D,-0.23015507,-1.427590857,0.82439123,0.95,mode,hdi,1
Hymenoptera.D - Coleoptera.E,0.202458068,-0.886351061,1.601953213,0.95,mode,hdi,
Hymenoptera.D - Diptera.A,-1.425031481,-2.262320541,-0.791852255,0.95,mode,hdi,
Hymenoptera.D - Diptera.B,-1.494147946,-2.410377449,-0.827516617,0.95,mode,hdi,
Hymenoptera.D - Diptera.C,-1.029989764,-1.776753072,-0.277032338,0.95,mode,hdi,
Hymenoptera.D - Diptera.D,-1.140526065,-2.1446994,-0.433797681,0.95,mode,hdi,1
Hymenoptera.D - Diptera.E,-2.141934848,-2.91324562,-1.312735763,0.95,mode,hdi,
Hymenoptera.E - Bee.A,-1.280003719,-1.954020813,-0.7530772,0.95,mode,hdi,
Hymenoptera.E - Bee.B,-1.130122938,-1.788573642,-0.495967804,0.95,mode,hdi,
Hymenoptera.E - Bee.C,-1.433101932,-2.101550832,-0.894095035,0.95,mode,hdi,
Hymenoptera.E - Bee.D,-1.626891549,-2.32023648,-0.957456111,0.95,mode,hdi,
Hymenoptera.E - Bee.E,-0.574129517,-1.258446755,0.149289908,0.95,mode,hdi,1
Hymenoptera.E - Coleoptera.A,-0.117227887,-0.74580005,0.464564264,0.95,mode,hdi,
Hymenoptera.E - Coleoptera.B,-0.389144758,-1.022422394,0.343243042,0.95,mode,hdi,
Hymenoptera.E - Coleoptera.C,-0.539347626,-1.211959297,0.038319991,0.95,mode,hdi,
Hymenoptera.E - Coleoptera.D,0.014612247,-0.989882387,1.07651546,0.95,mode,hdi,
Hymenoptera.E - Coleoptera.E,0.477528126,-0.441375081,1.750201198,0.95,mode,hdi,1
Hymenoptera.E - Diptera.A,-1.137426373,-1.83001095,-0.613408185,0.95,mode,hdi,
Hymenoptera.E - Diptera.B,-1.227469202,-1.922598821,-0.599536742,0.95,mode,hdi,
Hymenoptera.E - Diptera.C,-0.721404142,-1.336503081,-0.136557671,0.95,mode,hdi,
Hymenoptera.E - Diptera.D,-0.946278087,-1.663087133,-0.18381171,0.95,mode,hdi,
Hymenoptera.E - Diptera.E,-1.786796518,-2.497235393,-1.162792346,0.95,mode,hdi,1
Lepidoptera.A - Bee.A,-1.09582716,-1.337615691,-0.827053284,0.95,mode,hdi,1
Lepidoptera.A - Bee.B,-0.895961868,-1.27132159,-0.478660716,0.95,mode,hdi,
Lepidoptera.A - Bee.C,-1.217235274,-1.543194394,-0.958509247,0.95,mode,hdi,
Lepidoptera.A - Bee.D,-1.319924623,-1.804427124,-0.909818672,0.95,mode,hdi,
Lepidoptera.A - Bee.E,-0.254478593,-0.766085681,0.256321821,0.95,mode,hdi,
Lepidoptera.A - Coleoptera.A,0.109503689,-0.16682799,0.408618263,0.95,mode,hdi,1
Lepidoptera.A - Coleoptera.B,-0.069317212,-0.523979322,0.377747118,0.95,mode,hdi,
Lepidoptera.A - Coleoptera.C,-0.30074954,-0.660035809,0.001940567,0.95,mode,hdi,
Lepidoptera.A - Coleoptera.D,0.187454821,-0.490924639,1.300321116,0.95,mode,hdi,
Lepidoptera.A - Coleoptera.E,0.814293429,-0.074820176,1.863277347,0.95,mode,hdi,
Lepidoptera.A - Diptera.A,-0.895786576,-1.181611166,-0.648490223,0.95,mode,hdi,1
Lepidoptera.A - Diptera.B,-0.964716967,-1.381295823,-0.597742279,0.95,mode,hdi,
Lepidoptera.A - Diptera.C,-0.464340598,-0.75574941,-0.129531455,0.95,mode,hdi,
Lepidoptera.A - Diptera.D,-0.7011847,-1.140393652,-0.126610306,0.95,mode,hdi,
