intera,.value,.lower,.upper,.width,.point,.interval,group1,group2,Clim_1,Clim_2,
Crabronidae.D - Bombyliidae.E,-0.587345607,-1.510209654,0.296350557,0.95,mode,hdi,Crabronidae.D,Bombyliidae.E,D,E,
Crabronidae.D - Calliphoridae.A,-0.6955984,-1.540102344,0.085934133,0.95,mode,hdi,Crabronidae.D,Calliphoridae.A,D,A,
Crabronidae.D - Calliphoridae.B,-0.92553976,-1.898923686,-0.142126422,0.95,mode,hdi,Crabronidae.D,Calliphoridae.B,D,B,
Crabronidae.D - Calliphoridae.C,-0.644216449,-1.404026295,0.132916106,0.95,mode,hdi,Crabronidae.D,Calliphoridae.C,D,C,
Crabronidae.D - Calliphoridae.D,-0.481466799,-1.291748369,0.293987044,0.95,mode,hdi,Crabronidae.D,Calliphoridae.D,D,D,
Crabronidae.D - Calliphoridae.E,-0.409669242,-1.289926045,0.530859322,0.95,mode,hdi,Crabronidae.D,Calliphoridae.E,D,E,
Crabronidae.D - Colletidae.A,-0.485703557,-1.390804718,0.524080783,0.95,mode,hdi,Crabronidae.D,Colletidae.A,D,A,
Crabronidae.D - Colletidae.B,-0.835838106,-1.728412432,0.141817312,0.95,mode,hdi,Crabronidae.D,Colletidae.B,D,B,
Crabronidae.D - Colletidae.C,-0.636715658,-1.406474711,0.111395335,0.95,mode,hdi,Crabronidae.D,Colletidae.C,D,C,
Crabronidae.D - Colletidae.D,-0.661339529,-1.487823215,0.083081013,0.95,mode,hdi,Crabronidae.D,Colletidae.D,D,D,
Crabronidae.D - Colletidae.E,-0.191056064,-1.140663884,0.797738875,0.95,mode,hdi,Crabronidae.D,Colletidae.E,D,E,
Crabronidae.D - Crabronidae.A,-0.274362563,-1.153039917,0.591680042,0.95,mode,hdi,Crabronidae.D,Crabronidae.A,D,A,
Crabronidae.D - Crabronidae.B,-0.35486939,-1.526183147,0.560082591,0.95,mode,hdi,Crabronidae.D,Crabronidae.B,D,B,
Crabronidae.D - Crabronidae.C,-0.180212647,-1.035494651,0.490474706,0.95,mode,hdi,Crabronidae.D,Crabronidae.C,D,C,
Crabronidae.E - Andrenidae.A,-0.166314772,-1.054677102,0.713670181,0.95,mode,hdi,Crabronidae.E,Andrenidae.A,E,A,
Crabronidae.E - Andrenidae.B,-0.51034535,-1.519373798,0.299804764,0.95,mode,hdi,Crabronidae.E,Andrenidae.B,E,B,
Crabronidae.E - Andrenidae.C,-0.119139723,-1.162815727,0.534826078,0.95,mode,hdi,Crabronidae.E,Andrenidae.C,E,C,
Crabronidae.E - Andrenidae.D,-0.162859305,-1.184089395,0.608149845,0.95,mode,hdi,Crabronidae.E,Andrenidae.D,E,D,
Crabronidae.E - Andrenidae.E,-0.243647012,-1.099655319,0.629473581,0.95,mode,hdi,Crabronidae.E,Andrenidae.E,E,E,
Crabronidae.E - Anthomyiidae.A,0.172560307,-1.116770746,1.243379654,0.95,mode,hdi,Crabronidae.E,Anthomyiidae.A,E,A,
Crabronidae.E - Anthomyiidae.B,-0.384280004,-1.759407302,0.678905137,0.95,mode,hdi,Crabronidae.E,Anthomyiidae.B,E,B,
Crabronidae.E - Anthomyiidae.C,-0.369183015,-1.24882343,0.462151277,0.95,mode,hdi,Crabronidae.E,Anthomyiidae.C,E,C,
Crabronidae.E - Anthomyiidae.D,0.074492361,-0.855166578,1.070543302,0.95,mode,hdi,Crabronidae.E,Anthomyiidae.D,E,D,
Crabronidae.E - Anthomyiidae.E,0.14648506,-0.868028464,0.961053485,0.95,mode,hdi,Crabronidae.E,Anthomyiidae.E,E,E,
Crabronidae.E - Apidae.A,-0.97683136,-2.001260569,-0.257469288,0.95,mode,hdi,Crabronidae.E,Apidae.A,E,A,
Crabronidae.E - Apidae.B,-1.249887501,-2.18115561,-0.371284701,0.95,mode,hdi,Crabronidae.E,Apidae.B,E,B,
Crabronidae.E - Apidae.C,-0.852858546,-1.710516489,-0.006176038,0.95,mode,hdi,Crabronidae.E,Apidae.C,E,C,
Crabronidae.E - Apidae.D,-0.929057033,-1.818271971,-0.058166847,0.95,mode,hdi,Crabronidae.E,Apidae.D,E,D,
Crabronidae.E - Apidae.E,-0.514106911,-1.442345201,0.21176343,0.95,mode,hdi,Crabronidae.E,Apidae.E,E,E,
Crabronidae.E - Bombyliidae.A,-0.413201711,-1.432574764,0.407919733,0.95,mode,hdi,Crabronidae.E,Bombyliidae.A,E,A,
Crabronidae.E - Bombyliidae.B,-0.708724868,-1.602975204,0.228693067,0.95,mode,hdi,Crabronidae.E,Bombyliidae.B,E,B,
Crabronidae.E - Bombyliidae.C,-0.202008426,-1.147137765,0.570483949,0.95,mode,hdi,Crabronidae.E,Bombyliidae.C,E,C,
Crabronidae.E - Bombyliidae.D,-0.10269667,-1.049571369,0.904024269,0.95,mode,hdi,Crabronidae.E,Bombyliidae.D,E,D,
Crabronidae.E - Bombyliidae.E,-0.219173439,-1.070240092,0.651059318,0.95,mode,hdi,Crabronidae.E,Bombyliidae.E,E,E,
Crabronidae.E - Calliphoridae.A,-0.285499576,-1.228357658,0.541839968,0.95,mode,hdi,Crabronidae.E,Calliphoridae.A,E,A,
Crabronidae.E - Calliphoridae.B,-0.68639145,-1.519172326,0.367814969,0.95,mode,hdi,Crabronidae.E,Calliphoridae.B,E,B,
Crabronidae.E - Calliphoridae.C,-0.209070839,-1.075289664,0.63817322,0.95,mode,hdi,Crabronidae.E,Calliphoridae.C,E,C,
Crabronidae.E - Calliphoridae.D,0.063447644,-1.04564241,0.810806953,0.95,mode,hdi,Crabronidae.E,Calliphoridae.D,E,D,
Crabronidae.E - Calliphoridae.E,-0.081813029,-0.867651075,0.962179925,0.95,mode,hdi,Crabronidae.E,Calliphoridae.E,E,E,
Crabronidae.E - Colletidae.A,-0.000404236,-1.070648022,0.945262356,0.95,mode,hdi,Crabronidae.E,Colletidae.A,E,A,
Crabronidae.E - Colletidae.B,-0.454678136,-1.352379573,0.581093134,0.95,mode,hdi,Crabronidae.E,Colletidae.B,E,B,
Crabronidae.E - Colletidae.C,-0.197484774,-1.16586715,0.545647484,0.95,mode,hdi,Crabronidae.E,Colletidae.C,E,C,
Crabronidae.E - Colletidae.D,-0.33123741,-1.203103854,0.667128082,0.95,mode,hdi,Crabronidae.E,Colletidae.D,E,D,
Crabronidae.E - Colletidae.E,0.195608469,-0.726215409,1.116958185,0.95,mode,hdi,Crabronidae.E,Colletidae.E,E,E,
Crabronidae.E - Crabronidae.A,0.280992417,-0.727466463,1.128173864,0.95,mode,hdi,Crabronidae.E,Crabronidae.A,E,A,
Crabronidae.E - Crabronidae.B,-0.046567776,-1.225943058,0.961948648,0.95,mode,hdi,Crabronidae.E,Crabronidae.B,E,B,
Crabronidae.E - Crabronidae.C,0.091038015,-0.755842729,1.007297378,0.95,mode,hdi,Crabronidae.E,Crabronidae.C,E,C,
Crabronidae.E - Crabronidae.D,0.224731838,-0.717802779,1.47631101,0.95,mode,hdi,Crabronidae.E,Crabronidae.D,E,D,
Halictidae.A - Andrenidae.A,0.959312496,0.602001642,1.223197887,0.95,mode,hdi,Halictidae.A,Andrenidae.A,A,A,
Halictidae.A - Andrenidae.B,0.494701248,-0.044476226,1.158891093,0.95,mode,hdi,Halictidae.A,Andrenidae.B,A,B,
Halictidae.A - Andrenidae.C,0.882291999,0.493829911,1.260711091,0.95,mode,hdi,Halictidae.A,Andrenidae.C,A,C,
Halictidae.A - Andrenidae.D,0.783124305,0.351466586,1.252283727,0.95,mode,hdi,Halictidae.A,Andrenidae.D,A,D,
Halictidae.A - Andrenidae.E,0.913132691,0.311061929,1.489713466,0.95,mode,hdi,Halictidae.A,Andrenidae.E,A,E,
Halictidae.A - Anthomyiidae.A,1.137635156,0.345888457,2.015093179,0.95,mode,hdi,Halictidae.A,Anthomyiidae.A,A,A,
Halictidae.A - Anthomyiidae.B,0.612905225,-0.359591956,1.583078547,0.95,mode,hdi,Halictidae.A,Anthomyiidae.B,A,B,
Halictidae.A - Anthomyiidae.C,0.715231256,0.337860801,1.124682536,0.95,mode,hdi,Halictidae.A,Anthomyiidae.C,A,C,
Halictidae.A - Anthomyiidae.D,1.18502216,0.59029816,1.732146651,0.95,mode,hdi,Halictidae.A,Anthomyiidae.D,A,D,
Halictidae.A - Anthomyiidae.E,1.152058008,0.550567158,1.76005237,0.95,mode,hdi,Halictidae.A,Anthomyiidae.E,A,E,
Halictidae.A - Apidae.A,0.022268978,-0.164564983,0.208222069,0.95,mode,hdi,Halictidae.A,Apidae.A,A,A,
Halictidae.A - Apidae.B,-0.143076824,-0.601493509,0.444162767,0.95,mode,hdi,Halictidae.A,Apidae.B,A,B,
Halictidae.A - Apidae.C,0.244225896,-0.103859623,0.606429131,0.95,mode,hdi,Halictidae.A,Apidae.C,A,C,
Halictidae.A - Apidae.D,0.1672799,-0.257921319,0.632914529,0.95,mode,hdi,Halictidae.A,Apidae.D,A,D,
Halictidae.A - Apidae.E,0.517830397,-0.02413208,1.019274836,0.95,mode,hdi,Halictidae.A,Apidae.E,A,E,
Halictidae.A - Bombyliidae.A,0.596164856,0.236978894,0.862210188,0.95,mode,hdi,Halictidae.A,Bombyliidae.A,A,A,
Halictidae.A - Bombyliidae.B,0.397662032,-0.114939424,0.99570192,0.95,mode,hdi,Halictidae.A,Bombyliidae.B,A,B,
Halictidae.A - Bombyliidae.C,0.838754413,0.436132019,1.254426852,0.95,mode,hdi,Halictidae.A,Bombyliidae.C,A,C,
Halictidae.A - Bombyliidae.D,1.001124841,0.411988124,1.570593297,0.95,mode,hdi,Halictidae.A,Bombyliidae.D,A,D,
Halictidae.A - Bombyliidae.E,0.877613224,0.332389807,1.511760548,0.95,mode,hdi,Halictidae.A,Bombyliidae.E,A,E,
Halictidae.A - Calliphoridae.A,0.795384423,0.570308075,1.014519502,0.95,mode,hdi,Halictidae.A,Calliphoridae.A,A,A,
Halictidae.A - Calliphoridae.B,0.472362484,-0.05816088,1.122224031,0.95,mode,hdi,Halictidae.A,Calliphoridae.B,A,B,
Halictidae.A - Calliphoridae.C,0.79520137,0.431574379,1.220241644,0.95,mode,hdi,Halictidae.A,Calliphoridae.C,A,C,
Halictidae.A - Calliphoridae.D,1.049805079,0.455561169,1.517619989,0.95,mode,hdi,Halictidae.A,Calliphoridae.D,A,D,
Halictidae.A - Calliphoridae.E,1.118955306,0.473963263,1.742355487,0.95,mode,hdi,Halictidae.A,Calliphoridae.E,A,E,
Halictidae.A - Colletidae.A,1.016781021,0.468978161,1.496808541,0.95,mode,hdi,Halictidae.A,Colletidae.A,A,A,
Halictidae.A - Colletidae.B,0.673638201,0.060031454,1.377111048,0.95,mode,hdi,Halictidae.A,Colletidae.B,A,B,
Halictidae.A - Colletidae.C,0.863756765,0.435551373,1.207476711,0.95,mode,hdi,Halictidae.A,Colletidae.C,A,C,
Halictidae.A - Colletidae.D,0.830961154,0.296037499,1.373181172,0.95,mode,hdi,Halictidae.A,Colletidae.D,A,D,
Halictidae.A - Colletidae.E,1.302993272,0.645694616,2.038842081,0.95,mode,hdi,Halictidae.A,Colletidae.E,A,E,
Halictidae.A - Crabronidae.A,1.31684684,0.809862822,1.760833884,0.95,mode,hdi,Halictidae.A,Crabronidae.A,A,A,
Halictidae.A - Crabronidae.B,0.930058413,0.152523371,1.81141231,0.95,mode,hdi,Halictidae.A,Crabronidae.B,A,B,
Halictidae.A - Crabronidae.C,1.241247298,0.792087884,1.619794302,0.95,mode,hdi,Halictidae.A,Crabronidae.C,A,C,
Halictidae.A - Crabronidae.D,1.511669375,0.680764214,2.280669189,0.95,mode,hdi,Halictidae.A,Crabronidae.D,A,D,
Halictidae.A - Crabronidae.E,1.021588885,0.211094926,1.968451145,0.95,mode,hdi,Halictidae.A,Crabronidae.E,A,E,
Halictidae.B - Andrenidae.A,1.108783144,0.515496612,1.678571623,0.95,mode,hdi,Halictidae.B,Andrenidae.A,B,A,
Halictidae.B - Andrenidae.B,0.702342886,0.219920262,1.143986812,0.95,mode,hdi,Halictidae.B,Andrenidae.B,B,B,
Halictidae.B - Andrenidae.C,1.020817378,0.528316889,1.518140211,0.95,mode,hdi,Halictidae.B,Andrenidae.C,B,C,
Halictidae.B - Andrenidae.D,0.949230349,0.446144401,1.545708935,0.95,mode,hdi,Halictidae.B,Andrenidae.D,B,D,
Halictidae.B - Andrenidae.E,1.057688535,0.441773025,1.689693352,0.95,mode,hdi,Halictidae.B,Andrenidae.E,B,E,
Halictidae.B - Anthomyiidae.A,1.346989058,0.443363267,2.35840627,0.95,mode,hdi,Halictidae.B,Anthomyiidae.A,B,A,
Halictidae.B - Anthomyiidae.B,0.743697165,-0.057803558,1.706123819,0.95,mode,hdi,Halictidae.B,Anthomyiidae.B,B,B,
Halictidae.B - Anthomyiidae.C,0.924133465,0.414506239,1.426967226,0.95,mode,hdi,Halictidae.B,Anthomyiidae.C,B,C,
Halictidae.B - Anthomyiidae.D,1.315314251,0.710019287,2.017739621,0.95,mode,hdi,Halictidae.B,Anthomyiidae.D,B,D,
Halictidae.B - Anthomyiidae.E,1.433555198,0.745229757,2.026389719,0.95,mode,hdi,Halictidae.B,Anthomyiidae.E,B,E,
Halictidae.B - Apidae.A,0.149018803,-0.346781907,0.725976044,0.95,mode,hdi,Halictidae.B,Apidae.A,B,A,
Halictidae.B - Apidae.B,0.068804068,-0.247487136,0.440904104,0.95,mode,hdi,Halictidae.B,Apidae.B,B,B,
Halictidae.B - Apidae.C,0.377923368,-0.032164751,0.920232914,0.95,mode,hdi,Halictidae.B,Apidae.C,B,C,
Halictidae.B - Apidae.D,0.38918645,-0.141516846,0.91554228,0.95,mode,hdi,Halictidae.B,Apidae.D,B,D,
Halictidae.B - Apidae.E,0.696398086,0.104801141,1.227327064,0.95,mode,hdi,Halictidae.B,Apidae.E,B,E,
Halictidae.B - Bombyliidae.A,0.674634957,0.120971948,1.320198587,0.95,mode,hdi,Halictidae.B,Bombyliidae.A,B,A,
Halictidae.B - Bombyliidae.B,0.640423866,0.20927387,1.020374248,0.95,mode,hdi,Halictidae.B,Bombyliidae.B,B,B,
Halictidae.B - Bombyliidae.C,1.058322807,0.523649372,1.55044049,0.95,mode,hdi,Halictidae.B,Bombyliidae.C,B,C,
Halictidae.B - Bombyliidae.D,1.125085526,0.521134139,1.836978262,0.95,mode,hdi,Halictidae.B,Bombyliidae.D,B,D,
Halictidae.B - Bombyliidae.E,1.169458242,0.517362549,1.750654464,0.95,mode,hdi,Halictidae.B,Bombyliidae.E,B,E,
Halictidae.B - Calliphoridae.A,0.950915781,0.401409534,1.516919107,0.95,mode,hdi,Halictidae.B,Calliphoridae.A,B,A,
Halictidae.B - Calliphoridae.B,0.689832194,0.276539012,1.113612141,0.95,mode,hdi,Halictidae.B,Calliphoridae.B,B,B,
Halictidae.B - Calliphoridae.C,1.004700408,0.529274102,1.528009914,0.95,mode,hdi,Halictidae.B,Calliphoridae.C,B,C,
Halictidae.B - Calliphoridae.D,1.234658707,0.554144458,1.780656101,0.95,mode,hdi,Halictidae.B,Calliphoridae.D,B,D,
Halictidae.B - Calliphoridae.E,1.227608854,0.599210625,1.9275111,0.95,mode,hdi,Halictidae.B,Calliphoridae.E,B,E,
Halictidae.B - Colletidae.A,1.141313522,0.470660698,1.908054542,0.95,mode,hdi,Halictidae.B,Colletidae.A,B,A,
Halictidae.B - Colletidae.B,0.864269443,0.352278719,1.392805657,0.95,mode,hdi,Halictidae.B,Colletidae.B,B,B,
Halictidae.B - Colletidae.C,0.979443912,0.516028173,1.511249113,0.95,mode,hdi,Halictidae.B,Colletidae.C,B,C,
Halictidae.B - Colletidae.D,0.963595804,0.398847504,1.619797327,0.95,mode,hdi,Halictidae.B,Colletidae.D,B,D,
Halictidae.B - Colletidae.E,1.537926623,0.821406941,2.244601258,0.95,mode,hdi,Halictidae.B,Colletidae.E,B,E,
Halictidae.B - Crabronidae.A,1.337597867,0.749985163,2.123491618,0.95,mode,hdi,Halictidae.B,Crabronidae.A,B,A,
Halictidae.B - Crabronidae.B,1.162203061,0.512177007,1.936771274,0.95,mode,hdi,Halictidae.B,Crabronidae.B,B,B,
Halictidae.B - Crabronidae.C,1.40933914,0.903803422,1.95575113,0.95,mode,hdi,Halictidae.B,Crabronidae.C,B,C,
Halictidae.B - Crabronidae.D,1.629322293,0.835426954,2.545315108,0.95,mode,hdi,Halictidae.B,Crabronidae.D,B,D,
Halictidae.B - Crabronidae.E,1.31160137,0.397110096,2.227083823,0.95,mode,hdi,Halictidae.B,Crabronidae.E,B,E,
Halictidae.B - Halictidae.A,0.090696505,-0.336211055,0.760232661,0.95,mode,hdi,Halictidae.B,Halictidae.A,B,A,
Halictidae.C - Andrenidae.A,0.410565244,0.013472372,0.847540791,0.95,mode,hdi,Halictidae.C,Andrenidae.A,C,A,
Halictidae.C - Andrenidae.B,0.067939441,-0.502188938,0.592248171,0.95,mode,hdi,Halictidae.C,Andrenidae.B,C,B,
Halictidae.C - Andrenidae.C,0.395109875,0.171366204,0.585873894,0.95,mode,hdi,Halictidae.C,Andrenidae.C,C,C,
Halictidae.C - Andrenidae.D,0.343397951,-0.034120794,0.673726563,0.95,mode,hdi,Halictidae.C,Andrenidae.D,C,D,
Halictidae.C - Andrenidae.E,0.442331076,-0.118719787,0.966172033,0.95,mode,hdi,Halictidae.C,Andrenidae.E,C,E,
Halictidae.C - Anthomyiidae.A,0.625562646,-0.106468093,1.634496131,0.95,mode,hdi,Halictidae.C,Anthomyiidae.A,C,A,
Halictidae.C - Anthomyiidae.B,0.157541917,-0.747202532,1.119162239,0.95,mode,hdi,Halictidae.C,Anthomyiidae.B,C,B,
Halictidae.C - Anthomyiidae.C,0.249987908,-0.004604086,0.474613151,0.95,mode,hdi,Halictidae.C,Anthomyiidae.C,C,C,
Halictidae.C - Anthomyiidae.D,0.720395199,0.177422333,1.143422073,0.95,mode,hdi,Halictidae.C,Anthomyiidae.D,C,D,
Halictidae.C - Anthomyiidae.E,0.76360962,0.159777179,1.251168034,0.95,mode,hdi,Halictidae.C,Anthomyiidae.E,C,E,
Halictidae.C - Apidae.A,-0.473391765,-0.796965206,-0.120016647,0.95,mode,hdi,Halictidae.C,Apidae.A,C,A,
Halictidae.C - Apidae.B,-0.574783933,-1.038711848,-0.108780335,0.95,mode,hdi,Halictidae.C,Apidae.B,C,B,
Halictidae.C - Apidae.C,-0.2341728,-0.391979925,-0.064999089,0.95,mode,hdi,Halictidae.C,Apidae.C,C,C,
Halictidae.C - Apidae.D,-0.309811795,-0.592660592,0.054597266,0.95,mode,hdi,Halictidae.C,Apidae.D,C,D,
Halictidae.C - Apidae.E,0.046181284,-0.45591693,0.471056648,0.95,mode,hdi,Halictidae.C,Apidae.E,C,E,
Halictidae.C - Bombyliidae.A,0.083284168,-0.344603351,0.502443319,0.95,mode,hdi,Halictidae.C,Bombyliidae.A,C,A,
Halictidae.C - Bombyliidae.B,-0.032541964,-0.544651,0.451020349,0.95,mode,hdi,Halictidae.C,Bombyliidae.B,C,B,
Halictidae.C - Bombyliidae.C,0.384543133,0.128767154,0.617008408,0.95,mode,hdi,Halictidae.C,Bombyliidae.C,C,C,
Halictidae.C - Bombyliidae.D,0.527560674,0.002053019,1.022828867,0.95,mode,hdi,Halictidae.C,Bombyliidae.D,C,D,
Halictidae.C - Bombyliidae.E,0.458754664,-0.105863908,0.982445209,0.95,mode,hdi,Halictidae.C,Bombyliidae.E,C,E,
Halictidae.C - Calliphoridae.A,0.31396553,-0.075723125,0.667415986,0.95,mode,hdi,Halictidae.C,Calliphoridae.A,C,A,
Halictidae.C - Calliphoridae.B,0.023158015,-0.496361161,0.574045208,0.95,mode,hdi,Halictidae.C,Calliphoridae.B,C,B,
Halictidae.C - Calliphoridae.C,0.383495258,0.127115003,0.573044126,0.95,mode,hdi,Halictidae.C,Calliphoridae.C,C,C,
Halictidae.C - Calliphoridae.D,0.55520047,0.095928447,0.979552914,0.95,mode,hdi,Halictidae.C,Calliphoridae.D,C,D,
Halictidae.C - Calliphoridae.E,0.632096324,0.063656687,1.224455736,0.95,mode,hdi,Halictidae.C,Calliphoridae.E,C,E,
Halictidae.C - Colletidae.A,0.529073628,-0.060314171,1.10691015,0.95,mode,hdi,Halictidae.C,Colletidae.A,C,A,
Halictidae.C - Colletidae.B,0.235027292,-0.362560289,0.849691588,0.95,mode,hdi,Halictidae.C,Colletidae.B,C,B,
Halictidae.C - Colletidae.C,0.341434676,0.149526109,0.551114688,0.95,mode,hdi,Halictidae.C,Colletidae.C,C,C,
Halictidae.C - Colletidae.D,0.399761213,-0.093581817,0.814855462,0.95,mode,hdi,Halictidae.C,Colletidae.D,C,D,
Halictidae.C - Colletidae.E,0.907116538,0.19296642,1.497849851,0.95,mode,hdi,Halictidae.C,Colletidae.E,C,E,
Halictidae.C - Crabronidae.A,0.807807421,0.247201335,1.334995105,0.95,mode,hdi,Halictidae.C,Crabronidae.A,C,A,
Halictidae.C - Crabronidae.B,0.513221107,-0.287705163,1.267810807,0.95,mode,hdi,Halictidae.C,Crabronidae.B,C,B,
Halictidae.C - Crabronidae.C,0.742904072,0.472755369,1.017216546,0.95,mode,hdi,Halictidae.C,Crabronidae.C,C,C,
Halictidae.C - Crabronidae.D,0.950937174,0.29049801,1.815731637,0.95,mode,hdi,Halictidae.C,Crabronidae.D,C,D,
Halictidae.C - Crabronidae.E,0.550623881,-0.198293008,1.531488647,0.95,mode,hdi,Halictidae.C,Crabronidae.E,C,E,
Halictidae.C - Halictidae.A,-0.505659023,-0.868344929,-0.138795247,0.95,mode,hdi,Halictidae.C,Halictidae.A,C,A,
Halictidae.C - Halictidae.B,-0.661445605,-1.144639008,-0.17527327,0.95,mode,hdi,Halictidae.C,Halictidae.B,C,B,
Halictidae.D - Andrenidae.A,0.358071202,-0.110279424,0.923008346,0.95,mode,hdi,Halictidae.D,Andrenidae.A,D,A,
Halictidae.D - Andrenidae.B,-0.09832612,-0.624723759,0.592645792,0.95,mode,hdi,Halictidae.D,Andrenidae.B,D,B,
Halictidae.D - Andrenidae.C,0.403480587,-0.049188841,0.7149686,0.95,mode,hdi,Halictidae.D,Andrenidae.C,D,C,
Halictidae.D - Andrenidae.D,0.32038529,-0.08043553,0.649693836,0.95,mode,hdi,Halictidae.D,Andrenidae.D,D,D,
Halictidae.D - Andrenidae.E,0.403885084,-0.215502404,1.012922837,0.95,mode,hdi,Halictidae.D,Andrenidae.E,D,E,
Halictidae.D - Anthomyiidae.A,0.723980101,-0.259116921,1.592257886,0.95,mode,hdi,Halictidae.D,Anthomyiidae.A,D,A,
Halictidae.D - Anthomyiidae.B,-0.002961023,-0.911277151,1.05822804,0.95,mode,hdi,Halictidae.D,Anthomyiidae.B,D,B,
Halictidae.D - Anthomyiidae.C,0.210481922,-0.187261837,0.612232955,0.95,mode,hdi,Halictidae.D,Anthomyiidae.C,D,C,
Halictidae.D - Anthomyiidae.D,0.649318152,0.125867093,1.172482049,0.95,mode,hdi,Halictidae.D,Anthomyiidae.D,D,D,
Halictidae.D - Anthomyiidae.E,0.621186005,0.081663683,1.310188824,0.95,mode,hdi,Halictidae.D,Anthomyiidae.E,D,E,
Halictidae.D - Apidae.A,-0.512318728,-0.960165329,-0.052653139,0.95,mode,hdi,Halictidae.D,Apidae.A,D,A,
Halictidae.D - Apidae.B,-0.604763407,-1.158340204,-0.057423208,0.95,mode,hdi,Halictidae.D,Apidae.B,D,B,
Halictidae.D - Apidae.C,-0.288614887,-0.629996923,0.084339337,0.95,mode,hdi,Halictidae.D,Apidae.C,D,C,
Halictidae.D - Apidae.D,-0.33283685,-0.6934644,0.005355862,0.95,mode,hdi,Halictidae.D,Apidae.D,D,D,
Halictidae.D - Apidae.E,-0.060833072,-0.617576312,0.488168653,0.95,mode,hdi,Halictidae.D,Apidae.E,D,E,
Halictidae.D - Bombyliidae.A,0.041149964,-0.464452262,0.56121996,0.95,mode,hdi,Halictidae.D,Bombyliidae.A,D,A,
Halictidae.D - Bombyliidae.B,-0.07803576,-0.662259895,0.504889449,0.95,mode,hdi,Halictidae.D,Bombyliidae.B,D,B,
Halictidae.D - Bombyliidae.C,0.303345498,-0.101227647,0.706251958,0.95,mode,hdi,Halictidae.D,Bombyliidae.C,D,C,
Halictidae.D - Bombyliidae.D,0.471586645,-0.018710453,1.006728954,0.95,mode,hdi,Halictidae.D,Bombyliidae.D,D,D,
Halictidae.D - Bombyliidae.E,0.468089161,-0.203228451,1.026866308,0.95,mode,hdi,Halictidae.D,Bombyliidae.E,D,E,
Halictidae.D - Calliphoridae.A,0.199715218,-0.212341851,0.732934503,0.95,mode,hdi,Halictidae.D,Calliphoridae.A,D,A,
Halictidae.D - Calliphoridae.B,-0.035121717,-0.581276856,0.621994909,0.95,mode,hdi,Halictidae.D,Calliphoridae.B,D,B,
Halictidae.D - Calliphoridae.C,0.297034091,-0.052331605,0.71732321,0.95,mode,hdi,Halictidae.D,Calliphoridae.C,D,C,
Halictidae.D - Calliphoridae.D,0.472906818,0.020166274,0.952234249,0.95,mode,hdi,Halictidae.D,Calliphoridae.D,D,D,
Halictidae.D - Calliphoridae.E,0.585885865,-0.040704015,1.234495751,0.95,mode,hdi,Halictidae.D,Calliphoridae.E,D,E,
Halictidae.D - Colletidae.A,0.489730873,-0.192491054,1.128109789,0.95,mode,hdi,Halictidae.D,Colletidae.A,D,A,
Halictidae.D - Colletidae.B,0.177395801,-0.50819933,0.83884159,0.95,mode,hdi,Halictidae.D,Colletidae.B,D,B,
Halictidae.D - Colletidae.C,0.275170919,-0.071867596,0.693801197,0.95,mode,hdi,Halictidae.D,Colletidae.C,D,C,
Halictidae.D - Colletidae.D,0.275701103,-0.144972296,0.787338361,0.95,mode,hdi,Halictidae.D,Colletidae.D,D,D,
Halictidae.D - Colletidae.E,0.737476866,0.057852493,1.49592112,0.95,mode,hdi,Halictidae.D,Colletidae.E,D,E,
Halictidae.D - Crabronidae.A,0.719131082,0.128457478,1.378348791,0.95,mode,hdi,Halictidae.D,Crabronidae.A,D,A,
Halictidae.D - Crabronidae.B,0.479566808,-0.35637084,1.320453411,0.95,mode,hdi,Halictidae.D,Crabronidae.B,D,B,
Halictidae.D - Crabronidae.C,0.712375426,0.269173831,1.12618492,0.95,mode,hdi,Halictidae.D,Crabronidae.C,D,C,
Halictidae.D - Crabronidae.D,0.93316225,0.224748062,1.690112631,0.95,mode,hdi,Halictidae.D,Crabronidae.D,D,D,
Halictidae.D - Crabronidae.E,0.598845771,-0.316488816,1.469716151,0.95,mode,hdi,Halictidae.D,Crabronidae.E,D,E,
Halictidae.D - Halictidae.A,-0.525412024,-0.996828662,-0.063171446,0.95,mode,hdi,Halictidae.D,Halictidae.A,D,A,
Halictidae.D - Halictidae.B,-0.705920597,-1.299468661,-0.173423353,0.95,mode,hdi,Halictidae.D,Halictidae.B,D,B,
Halictidae.D - Halictidae.C,-0.047905753,-0.413019239,0.316749233,0.95,mode,hdi,Halictidae.D,Halictidae.C,D,C,
Halictidae.E - Andrenidae.A,0.121373697,-0.526667073,0.959194935,0.95,mode,hdi,Halictidae.E,Andrenidae.A,E,A,
Halictidae.E - Andrenidae.B,-0.103535316,-0.940365744,0.617682604,0.95,mode,hdi,Halictidae.E,Andrenidae.B,E,B,
Halictidae.E - Andrenidae.C,0.185599696,-0.494950039,0.879728426,0.95,mode,hdi,Halictidae.E,Andrenidae.C,E,C,
Halictidae.E - Andrenidae.D,0.192620222,-0.630858807,0.81560004,0.95,mode,hdi,Halictidae.E,Andrenidae.D,E,D,
Halictidae.E - Andrenidae.E,0.240097588,-0.488343465,0.927921598,0.95,mode,hdi,Halictidae.E,Andrenidae.E,E,E,
Halictidae.E - Anthomyiidae.A,0.558777854,-0.509454503,1.642361434,0.95,mode,hdi,Halictidae.E,Anthomyiidae.A,E,A,
