,comparison,difference,.lower,.upper,.width,.point,.interval,group1,group2,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Hymenoptera.D - Bee.C,-0.008846191,-0.023754666,0.007776112,0.95,mode,hdi,Hymenoptera.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Hymenoptera.E - Bee.C,-0.00939651,-0.025437262,0.008620982,0.95,mode,hdi,Hymenoptera.E,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Lepidoptera.A - Bee.C,-0.01501175,-0.029885575,-0.001401879,0.95,mode,hdi,Lepidoptera.A,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Lepidoptera.B - Bee.C,0.00285416,-0.016223421,0.020467654,0.95,mode,hdi,Lepidoptera.B,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Lepidoptera.D - Bee.C,-0.008441203,-0.022184714,0.005017943,0.95,mode,hdi,Lepidoptera.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Lepidoptera.E - Bee.C,-0.006155614,-0.02227935,0.009130405,0.95,mode,hdi,Lepidoptera.E,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Syrphidae.A - Bee.C,-0.016477401,-0.033193756,-0.004276165,0.95,mode,hdi,Syrphidae.A,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Syrphidae.B - Bee.C,0.005592646,-0.014078684,0.024418431,0.95,mode,hdi,Syrphidae.B,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Syrphidae.C - Bee.C,-0.002102483,-0.005399676,0.000921996,0.95,mode,hdi,Syrphidae.C,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Syrphidae.D - Bee.C,-0.003444886,-0.016086061,0.009214756,0.95,mode,hdi,Syrphidae.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Syrphidae.E - Bee.C,0.024584605,0.005096481,0.041444845,0.95,mode,hdi,Syrphidae.E,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bee.E - Bee.D,0.003164221,-0.014497074,0.023094106,0.95,mode,hdi,Bee.E,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Coleoptera.A - Bee.D,-0.006201351,-0.024251192,0.012441268,0.95,mode,hdi,Coleoptera.A,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Coleoptera.B - Bee.D,0.006016795,-0.016784379,0.024260608,0.95,mode,hdi,Coleoptera.B,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Coleoptera.C - Bee.D,-0.004789784,-0.017192443,0.008452509,0.95,mode,hdi,Coleoptera.C,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Coleoptera.D - Bee.D,-0.006065269,-0.016472958,0.004020677,0.95,mode,hdi,Coleoptera.D,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Coleoptera.E - Bee.D,-0.008528966,-0.040215426,0.029025056,0.95,mode,hdi,Coleoptera.E,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Diptera.A - Bee.D,-0.01056114,-0.027787899,0.007722064,0.95,mode,hdi,Diptera.A,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Diptera.B - Bee.D,-0.000118696,-0.019255242,0.020520126,0.95,mode,hdi,Diptera.B,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Diptera.C - Bee.D,-0.004355422,-0.019163125,0.006831702,0.95,mode,hdi,Diptera.C,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Diptera.D - Bee.D,-0.003937193,-0.011762929,0.001609645,0.95,mode,hdi,Diptera.D,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Diptera.E - Bee.D,-0.002004522,-0.019183336,0.015189744,0.95,mode,hdi,Diptera.E,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Hymenoptera.A - Bee.D,0.000662183,-0.01686556,0.019408282,0.95,mode,hdi,Hymenoptera.A,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hymenoptera.B - Bee.D,0.020204748,0.00147468,0.041583625,0.95,mode,hdi,Hymenoptera.B,Bee.D,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Hymenoptera.C - Bee.D,-0.004459371,-0.019372179,0.006643307,0.95,mode,hdi,Hymenoptera.C,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Hymenoptera.D - Bee.D,-0.007550224,-0.018779551,0.003207195,0.95,mode,hdi,Hymenoptera.D,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hymenoptera.E - Bee.D,-0.009222463,-0.028923562,0.010717369,0.95,mode,hdi,Hymenoptera.E,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lepidoptera.A - Bee.D,-0.014533003,-0.032778944,0.00314725,0.95,mode,hdi,Lepidoptera.A,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Lepidoptera.B - Bee.D,0.001012399,-0.017784099,0.024101821,0.95,mode,hdi,Lepidoptera.B,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Lepidoptera.C - Bee.D,-0.007658489,-0.020633028,0.005445848,0.95,mode,hdi,Lepidoptera.C,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Lepidoptera.E - Bee.D,-0.008166357,-0.025097455,0.012428325,0.95,mode,hdi,Lepidoptera.E,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Syrphidae.A - Bee.D,-0.017209994,-0.035673829,0.000627784,0.95,mode,hdi,Syrphidae.A,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Syrphidae.B - Bee.D,0.002741243,-0.017207151,0.026117417,0.95,mode,hdi,Syrphidae.B,Bee.D,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
